id_disease,disease
1,3696
2,2564
3,5284583
4,3518
5,3305
6,2717
7,60838
8,16362
9,2733
10,12035
11,156419
12,5362119
13,2375
14,54841
15,135401907
16,5361917
17,30323
18,60852
19,3767
20,4913
21,3202
22,4908
23,71433
24,3749
25,6322
26,5578
27,439302
28,3397
29,444013
30,2764
31,135403648
32,2391
33,5311
34,14985
35,2284
36,2249
37,3042
38,3639
39,444031
40,3741
41,14052
42,60961
43,4091
44,8226
45,135398658
46,23724914
47,2088
48,9681
49,6098
50,2554
51,149096
52,5793
53,1130
54,448812
55,5284604
56,5073
57,53232
58,214348
59,11693
60,4064
61,165580
62,426756
63,135564391
64,56959
65,65015
66,5904
67,4991
68,37768
69,16132265
70,4594
71,9433
72,456201
73,71329
74,6196
75,441300
76,9833444
77,3373
78,3883
79,9838022
80,464205
81,2719
82,3715
83,4114
84,41693
85,5362129
86,2153
87,135398742
88,516892
89,1349907
90,5472
91,6883
92,91754427
93,6253
94,3955
95,5453
96,4679
97,208902
98,3011155
99,1046
100,3950
101,73049652
102,71771
103,4763
104,5526
105,60750
106,5878
107,92043599
108,2727
109,54746
110,39186
111,2541
112,9853654
113,43815
114,54892
115,41774
116,33036
117,3821
118,23724781
119,6914273
120,51634
121,4062
122,216258
123,16133850
124,3385
125,5282489
126,92722
127,4032
128,4934
129,219024
130,5493444
131,10113978
132,53395955
133,3034010
134,4634
135,13109
136,65513
137,2955
138,6869
139,4768
140,5852
141,2708
142,10836
143,59768
144,54670067
145,6032
146,5284513
147,10531
148,6116
149,123631
150,41684
151,3033
152,1983
153,5591
154,13342
155,44152182
156,2720
157,8982
158,24477
159,5401
160,157920
161,443879
162,2519
163,4212
164,54687
165,4168
166,77991
167,2141
168,62886
169,4086
170,4595
171,5071
172,6476
173,441314
174,5002
175,5281078
176,4192
177,135402045
178,6604200
179,5281042
180,2092
181,3779
182,123606
183,5833
184,52918379
185,216239
186,36811
187,64139
188,9294
189,62819
190,2576
191,5284592
192,441289
193,119607
194,5719
195,153994
196,4057
197,65628
198,2082
199,4493
200,441290
201,124087
202,5282443
203,4999
204,4205
205,3961
206,6060
207,23666456
208,644077
209,5388962
210,60198
211,5770
212,5281034
213,5284627
214,34870
215,60753
216,30487
217,3002977
218,5314
219,60700
220,6433272
221,6251
222,176870
223,3658
224,5311304
225,3053
226,441140
227,4829
228,4909
229,126941
230,23667529
231,2712
232,2370
233,38853
234,5288826
235,5329102
236,3339
237,16133812
238,3676
239,5757
240,6918289
241,4054
242,3121
243,5775
244,3156
245,1201549
246,4510
247,5281081
248,3393
249,5362124
250,441350
251,54677470
252,3000322
253,26987
254,105125
255,5284596
256,2585
257,54671203
258,3038
259,1978
260,2083
261,26757
262,146570
263,45588096
264,667484
265,493570
266,5754
267,18381
268,51263
269,5826
270,4601
271,135398739
272,3637
273,10917
274,3657
275,60937
276,10413
277,2140
278,6918558
279,5486971
280,4100
281,174174
282,104865
283,5078
284,16129704
285,5281040
286,65999
287,70683024
288,4583
289,134018
290,33309
291,77999
292,55245
293,446598
294,47319
295,54678486
296,64143
297,16850
298,5282379
299,5311498
300,5572
301,5488548
302,60846
303,4976
304,60606
305,1775
306,54682461
307,3114
308,2478
309,446155
310,5983
311,7028
312,4993
313,4723
314,11333
315,2160
316,2756
317,4058
318,3182
319,5832
320,10660
321,31703
322,6249
323,4211
324,444
325,65981
326,4195
327,19649
328,11751549
329,5403
330,16960
331,3783
332,35370
333,4943
334,441278
335,5311017
336,4158
337,3001055
338,60714
339,446157
340,54454
341,445354
342,3516
343,16132344
344,247
345,2771
346,5215
347,3463
348,1054
349,4201
350,16132356
351,5780
352,3341
353,12560
354,16133802
355,681
356,708857
357,31378
358,5359272
359,3162
360,68617
361,5361092
362,4369359
363,657237
364,135398559
365,6741
366,4034
367,5280453
368,5284371
369,68740
370,152946
371,151171
372,39765
373,2724385
374,135398745
375,3080
376,657298
377,6137
378,5352062
379,3446
380,3902
381,2148
382,3261
383,135398513
384,564
385,60835
386,5819
387,5746
388,3957
389,3825
390,3386
391,55891
392,77992
393,3100
394,36462
395,28417
396,131204
397,5745
398,115237
399,208898
400,2723601
401,5816
402,6010
403,447043
404,208908
405,11967809
406,441074
407,91820602
408,8378
409,3168
410,5284632
411,392622
412,5281004
413,5284603
414,5284607
415,150311
416,4174
417,6005
418,34312
419,129211
420,4919
421,37464
422,56339
423,6834
424,4173
425,60947
426,5610
427,54676228
428,5035
429,2157
430,638678
431,32281
432,5920
433,18283
434,2131
435,5291
436,5959
437,3354
438,3878
439,11243969
440,9552071
441,441401
442,4463
443,2725
444,2244
445,439260
446,2726
447,13505
448,2381
449,4828
450,5280793
451,6918296
452,7029
453,5360696
454,4495
455,3348
456,6432
457,938
458,2162
459,2265
460,2520
461,2662
462,2678
463,2895
464,3059
465,3356
466,3365
467,3476
468,3488
469,3559
470,3672
471,3690
472,3899
473,4075
474,4485
475,4539
476,4748
477,4917
478,4932
479,5339
480,5426
481,5430
482,5452
483,5533
484,5994
485,27447
486,33255
487,33613
488,47965
489,51039
490,60823
491,71616
492,84029
493,148192
494,156391
495,213039
496,216326
497,441130
498,667490
499,1548887
500,1549008
501,2733526
502,3062316
503,5479529
504,5479530
505,5479537
506,5481173
507,5742673
508,6915944
509,135398737
510,3157
511,3475
512,5566
513,31401
514,39042
515,42113
516,47528
517,53025
518,441199
519,468595
520,644241
521,3000226
522,5362065
523,5362440
524,6321416
525,6335986
526,9870843
527,9875401
528,78323835
529,71158
530,11434515
531,5284514
532,60172
533,145994868
534,5280934
535,2130
536,6918493
537,5918
538,2164
539,2170
540,11561674
541,135413536
542,60795
543,124081876
544,2315
545,2353
546,5280489
547,2369
548,10275777
549,171548
550,2405
551,35330
552,92786
553,11978813
554,9837243
555,2479
556,2481
557,9854012
558,6472
559,34359
560,121396
561,11154555
562,131842141
563,83898
564,5280443
565,2707
566,2710
567,305
568,4369448
569,60613
570,6435415
571,20279
572,2794
573,25151504
574,5281915
575,6167
576,222786
577,16134627
578,2973
579,135565962
580,16136245
581,5881
582,16129703
583,73437646
584,3016
585,441207
586,5284543
587,445580
588,11339
589,3033818
590,16078
591,92974
592,4021
593,446284
594,77993
595,5277135
596,60877
597,16130199
598,15951529
599,443872
600,8223
601,969472
602,121892
603,3324
604,3345
605,5282448
606,135413538
607,9651
608,3467
609,16132283
610,5311128
611,5284566
612,5462328
613,5282593
614,5284569
615,3647
616,5284570
617,154417
618,71360
619,5311181
620,126480325
621,657309
622,27661
623,3784
624,5311037
625,132999
626,2247
627,11610526
628,56944144
629,53465279
630,45138674
631,657181
632,6047
633,5961
634,16158208
635,16134956
636,16139342
637,3958
638,11658860
639,21302490
640,213046
641,471161
642,4033
643,896
644,4055
645,4095
646,4101
647,4107
648,71183
649,4121
650,4170
651,176077
652,3599
653,9865528
654,5282381
655,145996610
656,39147
657,54732242
658,5284594
659,56959087
660,4440
661,936
662,4474
663,89594
664,4497
665,155903259
666,115355
667,23725625
668,65305
669,135565903
670,3036505
671,6337614
672,6918837
673,6613
674,9941444
675,76374506
676,86705695
677,4737
678,154234
679,9924495
680,47811
681,4761
682,4764
683,6041
684,7077
685,5910
686,10071196
687,4845
688,9948102
689,70693500
690,119570
691,4906
692,3052762
693,181572
694,5280343
695,60815
696,445154
697,11753673
698,6436173
699,51049968
700,11304743
701,449193
702,10311306
703,175805
704,59227
705,34755
706,131682
707,5152
708,71815
709,5193
710,9913767
711,56843331
712,517055
713,154059
714,10130337
715,5253
716,5311454
717,2724354
718,130313
719,5358
720,24965990
721,115358
722,10220503
723,123630
724,16124688
725,135409453
726,159269
727,5391
728,23480
729,16137828
730,6018
731,3000715
732,60648
733,33624
734,5487427
735,168009818
736,33741
737,6918140
738,31307
739,50248
740,25074470
741,68748835
742,13559281
743,24795069
744,454216
745,49846579
746,154562176
747,5280483
748,10077130
749,8969
750,60855
751,5732
